IdPaisProvincia,CodPaisProvincia,Provincia,IdPaisProvinciaMunicipio,CodPaisProvinciaMunicipio,Municipio
5,05,Ávila,550,05187,Piedralaves
5,05,Ávila,551,05188,Poveda
5,05,Ávila,552,05189,Poyales del Hoyo
5,05,Ávila,553,05190,Pozanco
5,05,Ávila,554,05191,Pradosegar
5,05,Ávila,555,05192,Puerto Castilla
5,05,Ávila,556,05193,Rasueros
5,05,Ávila,557,05194,Riocabado
5,05,Ávila,558,05195,Riofrío
5,05,Ávila,559,05196,Rivilla de Barajas
5,05,Ávila,560,05197,Salobral
5,05,Ávila,561,05198,Salvadiós
5,05,Ávila,562,05199,San Bartolomé de Béjar
5,05,Ávila,563,05200,San Bartolomé de Corneja
5,05,Ávila,564,05201,San Bartolomé de Pinares
5,05,Ávila,567,05206,San Esteban de los Patos
5,05,Ávila,569,05208,San Esteban de Zapardiel
5,05,Ávila,568,05207,San Esteban del Valle
5,05,Ávila,570,05209,San García de Ingelmos
5,05,Ávila,625,05901,San Juan de Gredos
5,05,Ávila,571,05210,San Juan de la Encinilla
5,05,Ávila,572,05211,San Juan de la Nava
5,05,Ávila,573,05212,San Juan del Molinillo
5,05,Ávila,574,05213,San Juan del Olmo
5,05,Ávila,575,05214,San Lorenzo de Tormes
5,05,Ávila,576,05215,San Martín de la Vega del Alberche
5,05,Ávila,577,05216,San Martín del Pimpollar
5,05,Ávila,578,05217,San Miguel de Corneja
5,05,Ávila,579,05218,San Miguel de Serrezuela
5,05,Ávila,580,05219,San Pascual
5,05,Ávila,581,05220,San Pedro del Arroyo
5,05,Ávila,591,05231,San Vicente de Arévalo
5,05,Ávila,565,05204,Sanchidrián
5,05,Ávila,566,05205,Sanchorreja
5,05,Ávila,583,05222,Santa Cruz de Pinares
5,05,Ávila,582,05221,Santa Cruz del Valle
5,05,Ávila,586,05226,Santa María de los Caballeros
5,05,Ávila,584,05224,Santa María del Arroyo
5,05,Ávila,585,05225,Santa María del Berrocal
5,05,Ávila,626,05902,Santa María del Cubillo
5,05,Ávila,587,05227,Santa María del Tiétar
5,05,Ávila,588,05228,Santiago del Collado
5,05,Ávila,628,05904,Santiago del Tormes
5,05,Ávila,589,05229,Santo Domingo de las Posadas
5,05,Ávila,590,05230,Santo Tomé de Zabarcos
5,05,Ávila,593,05233,Serranillos
5,05,Ávila,594,05234,Sigeres
5,05,Ávila,595,05235,Sinlabajos
5,05,Ávila,596,05236,Solana de Ávila
5,05,Ávila,597,05237,Solana de Rioalmar
5,05,Ávila,598,05238,Solosancho
5,05,Ávila,599,05239,Sotalbo
5,05,Ávila,600,05240,Sotillo de la Adrada
5,05,Ávila,602,05242,Tiñosillos
5,05,Ávila,603,05243,Tolbaños
5,05,Ávila,604,05244,Tormellas
5,05,Ávila,605,05245,Tornadizos de Ávila
5,05,Ávila,606,05246,Tórtoles
5,05,Ávila,608,05249,Umbrías
5,05,Ávila,609,05251,Vadillo de la Sierra
