provincia_reserva,concepto,filtrado,categoria
UCAM Mención en Música desde Grado de Primaria UCAM,admision,Mención en Música desde Grado de Primaria UCAM,mencion
UNIDAM Mención en Música desde Grado UNIDAM en Primaria,admision,Mención en Música desde Grado en Primaria,mencion
UNIDAM Mención en Música desde Grado UNIDAM en Primaria (no finalizado),admision,Mención en Música desde Grado en Primaria (no finalizado),mencion
UNIDAM Mención en Música desde Grado NO UNIDAM en Primaria,admision,Mención en Música desde Grado NO en Primaria,mencion
UNIDAM Mención en Música desde Grado NO UNIDAM en Primaria (no finalizado),admision,Mención en Música desde Grado NO en Primaria (no finalizado),mencion
Mención UCJC en Pedagogía Terapéutica (desde Grado UCJC en Primaria),admision,Mención en Pedagogía Terapéutica (desde Grado en Primaria),mencion
Mención UCJC en Pedagogía Terapéutica (desde Grado NO UCJC en Infantil),admision,Mención en Pedagogía Terapéutica (desde Grado NO en Infantil),mencion
Mención UCJC en Pedagogía Terapéutica (desde Grado NO UCJC en Primaria),admision,Mención en Pedagogía Terapéutica (desde Grado NO en Primaria),mencion
UCAM Mención en Pedagogía Terapéutica desde Grado de Primaria NO UCAM,admision,Mención en Pedagogía Terapéutica desde Grado de Primaria NO UCAM,mencion
UCAM Mención en Pedagogía Terapéutica desde Grado de Primaria NO UCAM,admision,Mención en Pedagogía Terapéutica desde Grado de Primaria NO UCAM,mencion
(RESIDUALES) UCAM Mención en Pedagogía Terapéutica desde Grado de Primaria UCAM,admision,Mención en Pedagogía Terapéutica desde Grado de Primaria UCAM,mencion
UCAM Mención en Pedagogía Terapéutica desde Grado de Primaria UCAM,admision,Mención en Pedagogía Terapéutica desde Grado de Primaria UCAM,mencion
UNIDAM Mención en Pedagogía Terapéutica desde Grado UNIDAM en Primaria,admision,Mención en Pedagogía Terapéutica desde Grado en Primaria,mencion
UNIDAM Mención en Pedagogía Terapéutica desde Grado UNIDAM en Primaria (no finalizado),admision,Mención en Pedagogía Terapéutica desde Grado en Primaria (no finalizado),mencion
Nebrija Mención en Pedagogía Terapéutica desde Grado Nebrija,admision,Mención en Pedagogía Terapéutica desde Grado Nebrija,mencion
Nebrija Mención en Pedagogía Terapéutica desde Grado Nebrija_AUMENTOECTS-Incluir DIDÁCTICA MATES,admision,Mención en Pedagogía Terapéutica desde Grado Nebrija_AUMENTOECTS-Incluir DIDÁCTICA MATES,mencion
UNIDAM Mención en Pedagogía Terapéutica desde Grado NO UNIDAM en Infantil,admision,Mención en Pedagogía Terapéutica desde Grado NO en Infantil,mencion
Nebrija Mención en Pedagogía Terapéutica desde Grado no Nebrija en Primaria,admision,Mención en Pedagogía Terapéutica desde Grado no en Primaria,mencion
UNIDAM Mención en Pedagogía Terapéutica desde Grado NO UNIDAM en Primaria,admision,Mención en Pedagogía Terapéutica desde Grado NO en Primaria,mencion
UNIDAM Mención en Pedagogía Terapéutica desde Grado NO UNIDAM en Primaria (no finalizado),admision,Mención en Pedagogía Terapéutica desde Grado NO en Primaria (no finalizado),mencion
Nebrija Mención en Pedagogía Terapéutica desde Grado no Nebrija en Primaria,admision,Mención en Pedagogía Terapéutica desde Grado no en Primaria,mencion
UNIDAM Mención en Pedagogía Terapéutica desde Grado NO UNIDAM en Primaria,admision,Mención en Pedagogía Terapéutica desde Grado NO en Primaria,mencion
Mención de Ed. Física,admision,Mención Física,mencion
UNIDAM Grado de Infantil desde título no homologado,admision,Grado de Infantil desde título no homologado,no maestro
UNIDAM Grado de Infantil para No Maestros,admision,Grado de Infantil para No Maestros,no maestro
UNIDAM Grado de Primaria desde FP,admision,Grado de Primaria desde FP,no maestro
UNIDAM Grado de Primaria desde primaria (no finalizado),admision,Grado de Primaria desde primaria (no finalizado),magisterio sin finalizar
Grado de Primaria para Graduados en Música,admision,Grado de Primaria para Graduados en Música,no maestro
Nebrija Grado de Primaria para No Maestros,admision,Grado de Primaria para No Maestros,no maestro
UNIDAM Grado de Primaria para No Maestros,admision,Grado de Primaria para No Maestros,no maestro
Grado de Ed. Infantil Para Licenciados,admision,Grado Infantil Para Licenciados,no maestro
Grado de Ed. Primaria para Diplomados No Maestros,admision,Grado Primaria para Diplomados No Maestros,no maestro
Grado de Ed. Primaria para Graduados no maestros (2 años),admision,Grado Primaria para Graduados no maestros (2 años),no maestro
Grado de Ed. Primaria Para Licenciados (2 años),admision,Grado Primaria Para Licenciados (2 años),no maestro
Grado de Pedagogía para titulados,admision,Grado de Pedagogía para titulados,pedagogia para titulados
UNIDAM Grado de Psicología desde Psicología (no finalizado),admision,Grado de Psicología desde Psicología (no finalizado),psicologia sin finalizar
CEIE Grado de Psicología para titulados,admision,Grado de Psicología para titulados,psicologia para titulados
UNIDAM Grado de Psicología para titulados,admision,Grado de Psicología para titulados,psicologia para titulados
UNIDAM Grado de Primaria Primer Curso,admision,Grado de Primaria Primer Curso,psicologia sin titulacion
CEIE Grado de Psicología Primer Curso,admision,Grado de Psicología Primer Curso,psicologia sin titulacion
UNIDAM Grado de Psicología Primer Curso,admision,Grado de Psicología Primer Curso,psicologia sin titulacion
